image_filename,게시물수,팔로워수,팔로잉수,촬영 구도,사진 종류,소품,대학교,색감_분위기_통합,고유한 특징
moniquephoto_official_01.jpg,357,852,146,"반신샷,전신샷","우정사진,독사진",꽃다발,"연세대,한양대","기쁨, 따뜻한, 밝은, 화사한",자연 배경
mano.graphy_01.jpg,1356,8222,516,"반신샷,전신샷","우정사진,독사진",꽃다발,서울대,"경쾌한, 기쁨, 밝은, 자연광",졸업 테마
lam__snap_01.jpg,74,591,395,반신샷,독사진,학사모,"서울대,중앙대,고려대","기념, 자연광",졸업식
kimi.snap_04.jpg,117,438,31,"근접샷,전신샷",독사진,꽃다발,없음,"부드러운, 상냥한, 선명한, 자연적","꽃다발 사용, 자연 배경"
kimi.snap_01.jpg,117,438,31,"반신샷,전신샷",독사진,꽃다발,연세대,"따뜻한, 밝은, 상쾌한, 자연스러운","자연광 활용, 미소"
ilwolilil_snap_01.jpg,32,59,5,근접샷,독사진,학사모,"연세대,이화여대","경쾌한, 밝은","자연광 사용, 부드러운 명암"
hamera.__01.jpg,14,259,43,반신샷,독사진,"학사모,꽃다발",서울대,"밝은, 자연스러운, 즐거운, 화사한",자연광 활용
greengreenphoto_03.jpg,32,167,165,반신샷,독사진,"학사모,꽃다발,인형",이화여대,"따뜻한, 자연광, 청량한, 행복한",부드러운 배경
greengreenphoto_02.jpg,32,167,165,반신샷,"커플사진,독사진",꽃다발,없음,"로맨틱한, 자연스러운",야외 촬영
greengreenphoto_01.jpg,32,167,165,"반신샷,전신샷","우정사진,독사진",꽃다발,이화여대,"따뜻한, 밝은, 자연스러운, 즐거운",캠퍼스 배경
girinee_univ_02.jpg,13,36,1,반신샷,독사진,없음,고려대,"따뜻한, 부드러운, 우아한, 차분한",자연광 사용
girinee_univ_01.jpg,13,36,1,"근접샷,반신샷",독사진,"학사모,꽃다발,인형","연세대,고려대,이화여대","따스한, 밝은, 생동감, 자연적",세부 묘사
dozakga_01.jpg,243,2137,357,근접샷,독사진,"학사모,꽃다발",숙명여대,"따뜻한, 밝은",청량함
deerjo_0912_01.jpg,941,1.6만,1120,반신샷,독사진,"학사모,꽃다발,악기",연세대,"기쁨, 따뜻한, 상쾌한, 자연광",감성적인 포즈
dear.darling.snap_01.jpg,821,1684,590,반신샷,독사진,"학사모,꽃다발",서울대,"밝은, 시원한, 자연광, 축하하는","자연 배경, 부드러운 조명"
daniel_dun_university_02.jpg,477,9499,291,반신샷,"우정사진,독사진",학사모,서울대,"기념, 선명한, 자연광, 즐거운","졸업식 장면, 학사모"
daniel_dun_university_01.jpg,477,9499,291,반신샷,독사진,"학사모,꽃다발","이화여대,고려대","따뜻한, 밝은, 행복, 화사한",자연광 사용
cjddns_photo_02.jpg,676,1879,473,"반신샷,전신샷","우정사진,독사진",꽃다발,없음,"따뜻한, 밝은, 자연스러운, 화사한",자연광 활용
cjddns_photo_01.jpg,676,1879,473,"반신샷,전신샷",독사진,"학사모,꽃다발,인형","이화여대,서울대",밝은,자연스러움
camengzzi_02.png,528,2.6만,251,"한신샷,전신샷",독사진,학사모,고려대,"따뜻한, 밝은",자연스러움
camengzzi_01.png,528,2.6만,251,반신샷,독사진,학사모,없음,"기쁨, 따뜻한",자연광
camengzzi_01.jpg,528,2.6만,251,반신샷,"커플사진,독사진",학사모,없음,"기념, 따뜻한, 밝은",자연광 사용
bitdam_snap_04.jpg,127,209,296,"반신샷,전신샷",독사진,"학사모,꽃다발","성균관대,고려대","깔끔한, 밝은, 생생한",자연광 활용
bitdam_snap_03.jpg,127,209,296,반신샷,독사진,"인형,꽃다발","서울대,연세대","따뜻한, 밝은",인물 중심
bitdam_snap_02.jpg,127,209,296,"반신샷,전신샷","우정사진,커플사진,독사진",인형,한양대,"경쾌한, 밝은, 청명한, 활기참",졸업식 테마
bitdam_snap_01.jpg,127,209,296,"반신샷,전신샷","우정사진,독사진","학사모,인형","한양대,고려대","기념적, 따뜻한, 자연광, 화사한","야외 촬영, 인물 중심"
albin_snap_01.jpg,87,1153,355,반신샷,독사진,"학사모,꽃다발",성신여대,"따뜻한, 밝은",생생한 자연 배경
2wol_film_01.jpg,494,3001,556,"근접샷,반신샷",독사진,"꽃다발,인형","고려대,연세대","따뜻한, 밝은",감성적
_girinee_02.jpg,187,6664,278,"근접샷,반신샷,전신샷",독사진,"학사모,인형","한양대,고려대,연세대","고요한, 깔끔한, 부드러운, 자연스러운","따뜻한 톤, 아늑한 느낌"
_girinee_01.jpg,187,6664,278,반신샷,독사진,꽃다발,서강대,"경쾌한, 따뜻한, 밝은, 부드러운","자연광 활용, 화사한 색감"
